date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
1997-11-14,0.1969,0.2104,0.18905,0.20834999999999998,117383995,50.004,7.93,111017995.3
1997-11-17,0.21145,0.2271,0.21095,0.21875,147887994,52.5,5.04,113499595.2
1997-11-18,0.21875,0.22394999999999998,0.2172,0.22085,37319998,53.004,0.91,103269595.6
1997-11-19,0.2203,0.22605,0.21565,0.22549999999999998,50687998,54.12,2.13,100595995.7
1997-11-20,0.22865,0.2302,0.22549999999999998,0.22915,118463995,54.996,1.64,100862395.7
1997-11-21,0.2276,0.22915,0.2245,0.2245,52055998,53.88,-2.05,93973196.0
1997-11-24,0.21875,0.22085,0.21145,0.21145,40391998,50.748,-5.79,89901596.15
1997-11-25,0.212,0.21665,0.20209999999999997,0.21015,66095997,50.436,-0.61,81487196.5
1997-11-26,0.212,0.22055,0.212,0.213,32615999,51.12,1.33,75991196.75
1997-11-28,0.21355000000000002,0.21665,0.20575000000000002,0.20625,32063999,49.5,-3.15,72824396.9
1997-12-01,0.212,0.21875,0.20675,0.21355000000000002,47663998,51.252,3.49,70180797.0
1997-12-02,0.213,0.2151,0.20885,0.2117,25247999,50.808,-0.84,69443997.05
1997-12-03,0.20989999999999998,0.21875,0.2094,0.21825,25799999,52.38,3.07,68368797.1
1997-12-04,0.22005,0.2276,0.21924999999999997,0.225,60767997,54.0,3.12,68313597.1
1997-12-05,0.2219,0.2297,0.21769999999999998,0.2297,53231998,55.128,2.09,68061597.15
1997-12-08,0.2271,0.23855,0.22605,0.2354,95327996,56.496,2.48,70201197.05
1997-12-09,0.23334999999999997,0.23855,0.2302,0.2344,26639999,56.256,-0.42,68768397.1
1997-12-10,0.2297,0.23124999999999998,0.2198,0.22549999999999998,28895999,54.12,-3.8,65900397.25
1997-12-11,0.2198,0.24165,0.2198,0.2344,100295996,56.256,3.95,62231997.4
1997-12-12,0.2323,0.2401,0.2203,0.2271,53447998,54.504,-3.11,60614397.5
1997-12-15,0.22915,0.23334999999999997,0.2203,0.22915,33887999,54.996,0.92,56439597.7
1997-12-16,0.2323,0.2323,0.22290000000000001,0.22290000000000001,33743999,53.496,-2.75,50732397.95
1997-12-17,0.21875,0.22290000000000001,0.21275,0.21955,122807995,52.692,-1.53,55006797.8
1997-12-18,0.21769999999999998,0.22135000000000002,0.21145,0.21459999999999999,64079997,51.504,-2.23,55676397.75
1997-12-19,0.21145,0.22605,0.20834999999999998,0.225,95063996,54.0,4.85,54506397.8
1997-12-22,0.225,0.23904999999999998,0.2216,0.2349,87047996,56.376,4.4,56255997.7
1997-12-23,0.2344,0.23700000000000002,0.23124999999999998,0.23124999999999998,23543999,55.5,-1.53,55413597.75
1997-12-24,0.23124999999999998,0.2354,0.22345,0.2302,46727998,55.248,-0.48,54445197.8
1997-12-26,0.22815,0.2323,0.2245,0.22605,9744000,54.252,-1.82,53301597.85
1997-12-29,0.22915,0.23904999999999998,0.22655,0.2375,51047998,57.0,5.09,54250797.8
1997-12-30,0.24165,0.2453,0.23904999999999998,0.24245,125711995,58.188,2.06,58153197.65
1997-12-31,0.24375,0.2521,0.2422,0.25105,88919996,60.252,3.55,61336797.5
1998-01-02,0.25,0.25,0.23985,0.2479,33215999,59.496,-1.24,61707597.5
1998-01-05,0.24425,0.2469,0.2354,0.2375,71807997,57.0,-4.2,62259597.5
1998-01-06,0.2349,0.24375,0.23334999999999997,0.24195,83495996,58.068,1.85,63772797.4
1998-01-07,0.24165,0.24165,0.23465,0.23904999999999998,54503998,57.372,-1.16,61731597.5
1998-01-08,0.2349,0.23515,0.22655,0.23075,120551995,55.38,-3.51,66427197.3
1998-01-09,0.23334999999999997,0.23334999999999997,0.21145,0.213,132863994,51.12,-7.67,71625597.05
1998-01-12,0.20834999999999998,0.21924999999999997,0.2073,0.2151,148031994,51.624,0.99,74012396.95
1998-01-13,0.2172,0.23334999999999997,0.21614999999999998,0.2323,146423994,55.752,8.0,78661196.75
1998-01-14,0.2328,0.24375,0.23124999999999998,0.24375,170111993,58.5,4.95,85472396.45
1998-01-15,0.23959999999999998,0.2505,0.23959999999999998,0.24765,120287995,59.436,1.6,89799596.25
1998-01-16,0.2479,0.24894999999999998,0.23855,0.23959999999999998,51263998,57.504,-3.27,86222396.4
1998-01-20,0.24114999999999998,0.2505,0.24065,0.24765,109343995,59.436,3.38,88485596.3
1998-01-21,0.2469,0.25834999999999997,0.24375,0.25365,174767992,60.876,2.38,92470796.1
1998-01-22,0.25365,0.26355,0.25105,0.25675,189431992,61.62,1.26,97589995.9
1998-01-23,0.2672,0.2672,0.2469,0.2469,182375992,59.256,-3.86,105531595.55
1998-01-26,0.24894999999999998,0.2495,0.23700000000000002,0.24065,94247996,57.756,-2.55,107907595.45
1998-01-27,0.2409,0.24325,0.23334999999999997,0.2375,82079996,57.0,-1.29,111524395.25
1998-01-28,0.2375,0.24165,0.23124999999999998,0.23855,105863995,57.252,0.42,114265195.1
1998-01-29,0.23959999999999998,0.2495,0.23904999999999998,0.2479,96719996,59.496,3.94,112815595.15
1998-01-30,0.25,0.25315,0.24425,0.24584999999999999,74447997,59.004,-0.85,112091995.2
1998-02-02,0.24739999999999998,0.2604,0.2469,0.25989999999999996,138263994,62.376,5.74,117344394.95
1998-02-03,0.2594,0.2625,0.2547,0.25755,88583996,61.812,-0.88,118183194.9
1998-02-04,0.25315,0.2594,0.2526,0.25315,24695999,60.756,-1.75,115243195.05
1998-02-05,0.25575000000000003,0.25575000000000003,0.24375,0.2469,116639995,59.256,-2.45,118349994.9
1998-02-06,0.24635,0.25105,0.24375,0.2453,42455998,58.872,-0.65,114445195.05
1998-02-09,0.24584999999999999,0.2479,0.23855,0.2427,52535998,58.248,-1.06,110428795.25
1998-02-10,0.24375,0.2659,0.24165,0.2651,245927989,63.624,9.23,115323595.0
1998-02-11,0.2646,0.2732,0.26405,0.2646,129479994,63.504,-0.19,114476395.0
1998-02-12,0.26355,0.2651,0.2594,0.263,60719997,63.12,-0.6,109006795.2
1998-02-13,0.2625,0.26355,0.25730000000000003,0.2594,168407993,62.256,-1.37,111412795.1
1998-02-17,0.26095,0.26095,0.25365,0.25730000000000003,47519998,61.752,-0.81,111225595.1
1998-02-18,0.25730000000000003,0.25730000000000003,0.2526,0.25365,59423997,60.876,-1.44,108729595.2
1998-02-19,0.25545,0.2646,0.25415,0.26144999999999996,88727996,62.748,3.12,104427595.4
1998-02-20,0.26144999999999996,0.2646,0.25575000000000003,0.26355,54071998,63.252,0.76,97659595.7
1998-02-23,0.2646,0.27085000000000004,0.2604,0.2703,79559997,64.872,2.58,92518795.95
1998-02-24,0.27085000000000004,0.28385,0.2677,0.2703,5352000,64.872,0.0,88073996.15
1998-02-25,0.27344999999999997,0.2771,0.263,0.27449999999999997,134903994,65.88,1.55,90715196.05
1998-02-26,0.2732,0.30415,0.27185,0.3031,307463987,72.744,10.42,100795195.65
1998-02-27,0.30105,0.33175,0.2992,0.32085,494135979,77.004,5.84,120665994.8
1998-03-02,0.31615000000000004,0.32815,0.3125,0.31770000000000004,219143991,76.248,-0.97,127900794.5
1998-03-03,0.3146,0.31565,0.2979,0.29895,160319993,71.748,-5.89,129003594.45
1998-03-04,0.3,0.3094,0.29164999999999996,0.306,146279994,73.44,2.34,131888394.35
1998-03-05,0.29895,0.3258,0.2969,0.3125,240023990,75.0,2.12,142654793.9
1998-03-06,0.3151,0.32085,0.30729999999999996,0.3198,117743995,76.752,2.34,142709993.9
1998-03-09,0.3203,0.35729999999999995,0.3198,0.3479,461111980,83.496,8.79,163642793.0
1998-03-10,0.35625,0.3677,0.33854999999999996,0.3463,494999979,83.112,-0.46,185765992.05
1998-03-11,0.34164999999999995,0.34375,0.32604999999999995,0.33175,246983989,79.62,-4.19,185818792.05
1998-03-12,0.32815,0.338,0.32134999999999997,0.3271,195983992,78.504,-1.42,189143991.95
1998-03-13,0.33175,0.33699999999999997,0.32395,0.32785,130463994,78.684,0.24,192631191.8
1998-03-16,0.3315,0.33645,0.32915,0.32915,66239997,78.996,0.4,187522792.0
1998-03-17,0.3323,0.33435,0.32449999999999996,0.3328,62015997,79.872,1.09,188247591.95
1998-03-18,0.3302,0.35729999999999995,0.3302,0.35545000000000004,273191988,85.308,6.82,198935991.5
1998-03-19,0.35574999999999996,0.36460000000000004,0.34895000000000004,0.35,242303990,84.0,-1.55,206614791.2
1998-03-20,0.35,0.35365,0.34635,0.35,128255994,84.0,0.0,210323991.0
1998-03-23,0.3482,0.35309999999999997,0.3448,0.3492,60095997,83.808,-0.23,209350791.0
1998-03-24,0.34375,0.36145,0.34375,0.35105,113615995,84.252,0.52,214763990.75
1998-03-25,0.35414999999999996,0.35729999999999995,0.3375,0.34035,225791990,81.684,-3.02,219308390.55
1998-03-26,0.34065,0.34895000000000004,0.33125,0.3448,157559993,82.752,1.29,211813190.85
1998-03-27,0.35105,0.363,0.3448,0.35414999999999996,152927993,84.996,2.73,194752791.55
1998-03-30,0.3578,0.36460000000000004,0.3547,0.3578,110015995,85.872,1.02,189296391.75
1998-03-31,0.35574999999999996,0.3604,0.34895000000000004,0.3564,131303994,85.536,-0.39,187845591.8
1998-04-01,0.3552,0.37655,0.35015,0.3755,289031988,90.12,5.36,194983191.5
